PAO000PAO	46	4	4.246410773462618e-01	6.169739547746497e+00
PAO191110	166	13	-1.190556600458497e-01	4.696263329701919e+00
PAO070114	165	13	7.273089226018645e-01	5.288042249877174e+00
PAO200611	155	12	-2.955898213683201e-01	4.507762407688940e+00
PAO141021	155	12	-2.827300465530801e-01	4.320798677098370e+00
PAO180812	147	12	3.369655923717113e-01	3.909518478229049e+00
PAO080925	140	11	-6.472982500379842e-02	6.374966804529487e-01
PAO190428	133	11	-2.171063912505010e-01	6.139275447758170e+00
PAO171228	132	11	-2.695065555459377e-01	4.461966494327847e+00
PAO140306	131	10	-6.962674829602171e-01	1.397152633682516e+00
PAO050705	127	10	-8.634795536375681e-01	3.136358223030157e+00
PAO150825	125	10	-3.672256764549203e-01	6.085959282725563e+00
PAO080118	124	10	-1.228335842124809e+00	8.263543635815961e-01
PAO160127	122	10	4.045710623057920e-01	5.028927614496419e+00
PAO160121	122	10	3.279750214618820e-01	5.864301091634387e+00
PAO110127	116	9	5.936029598265506e-01	4.347940143945901e+00
PAO160309	115	9	5.852987819522022e-01	4.402589654946143e+00
PAO150926	113	14	-1.297170357480525e+00	2.730703644480897e+00
PAO161024	111	9	-7.839681482534452e-01	1.636546900751090e+00
PAO200306	110	9	7.446866951578779e-02	4.544319000178723e+00
PAO180624	110	9	-4.305656385424710e-01	3.325670808510822e-01
PAO111228	108	9	-7.477395640221812e-01	5.496904880317142e+00
PAO190303	108	9	-1.388167954461003e-01	5.246711944487213e+00
PAO150523	107	9	-5.749681450327169e-01	4.505834814011428e+00
PAO181203	107	9	-7.516703372271992e-01	3.920330826443878e+00
PAO141225	107	9	-5.066981066476811e-01	7.593604144983074e-01
PAO150327	106	8	-8.701349270248910e-01	8.532847447009569e-01
PAO140422	106	8	6.180714971125776e-01	4.710104391923688e+00
PAO151201	105	8	1.812250626047759e-02	5.089627171240060e+00
PAO120321	104	8	-6.125974748210116e-01	5.735269433616918e+00
PAO200313	104	12	-3.307039614495579e-01	5.050569415051090e+00
PAO200127	103	8	-3.345350608875727e-01	4.266483500164089e+00
PAO160816	102	8	3.923125711564186e-01	5.752380241578438e+00
PAO191206	101	8	1.050516503700204e+00	5.785294577755173e+00
PAO101011	101	8	-1.679875272963886e-01	5.433065608969843e+00
PAO180805	101	8	5.024535900143416e-01	5.842767783538282e+00
PAO200502	100	8	-1.090824789331551e+00	4.248321665630055e+00
PAO060705	97	8	-8.257018036850017e-01	1.541806229404765e+00
PAO170323	96	8	-7.983590053449103e-01	4.248002493566796e+00
PAO160318	96	8	-6.550579911321036e-01	3.786457615983269e+00
PAO080921	96	8	-2.256590908918614e-01	4.602277342937255e+00
PAO170528	95	8	-6.133925914449938e-01	4.459188623666936e+00
PAO190722	94	7	2.015276040024698e-01	4.983480195158685e+00
PAO071210	94	7	-3.899895786816526e-01	3.662204231364606e+00
PAO110722	93	7	-2.317667507685044e-01	4.708713986009307e+00
PAO141220	93	7	-8.009054812539768e-01	5.300139174832080e-01
PAO070713	92	7	-8.618825298596809e-01	2.143040962053787e-01
PAO130905	92	7	1.450592795848475e-01	4.845334146049557e+00
PAO181122	92	7	7.104207630740018e-01	5.789269232202680e+00
PAO191225	92	7	-1.121739926123488e+00	4.625880688070598e+00
PAO091002	93	11	-4.514147672853195e-01	5.777041242264914e+00
PAO171227	91	7	-5.586687571130934e-01	2.831790886470313e-01
PAO180623	91	7	-4.424128334299874e-01	5.468800780077755e+00
PAO110809	91	7	1.533179196336985e-01	4.572712358292506e+00
PAO041204	90	7	-2.915387318753896e-01	5.800145193372606e+00
PAO100501	90	7	-3.391908744918088e-01	4.952284868325356e+00
