x, y
60.526725890972926, 197.60503960867283
61.09345562321397, 192.5016384210356
61.77353130190322, 187.05801048755592
62.453606980592475, 181.61438255407623
63.02033671283351, 176.510981366439
63.70041239152277, 171.16742378746463
64.38048807021201, 166.0640225998274
65.06056374890127, 160.96062141219022
65.85398537403873, 155.51699347871053
66.64740699917618, 149.39291205354587
67.66752051721006, 143.6090573742237
68.61651263616795, 137.9919727752153
69.52328020775363, 132.54834484173563
70.4300477793393, 127.4449436540984
71.45016129737317, 122.68176921230366
72.35692886895885, 117.91859477050895
73.49038833344093, 113.15542032871421
74.623847797923, 108.39224588691948
75.75730726240509, 103.96929819096722
77.11745861978359, 98.86589700333002
78.4776099771621, 94.78317605322027
80.06445322743701, 90.02000161142553
81.53795053126373, 85.93728066131574
83.01811514196845, 81.76784176133793
84.60495839224338, 78.02534755707065
86.64518542831112, 73.94262660696089
88.57206651793066, 70.2001324026936
90.385601661102, 67.47831843595374
92.53917464361797, 64.07605097752892
94.12601789389288, 62.034690502474035
95.5995151977196, 59.99333002741916
97.18635844799451, 58.29219629820675
99.22658548406227, 55.9106090773094
102.06023414526749, 53.18879511056955
104.66719091357628, 51.14743463551467
107.16080173543686, 49.446300906302255
109.08768282505642, 48.085393922932354
111.12790986112415, 47.06471368540491
113.0547909507437, 46.044033447877474
115.09501798681146, 45.023353210349995
116.79520718353459, 44.34289971866506
118.49539638025772, 43.66244622698009
120.30893152342904, 42.981992735295115
122.3491585594968, 41.96131249776768
124.4493930869886, 41.36759772174338
126.48962012305635, 41.02737097590087
128.4165012126759, 40.346917484215936
130.34338230229542, 39.666463992530964
132.27026339191497, 39.3262372466885
134.08379853508632, 38.98601050084599
136.2373715176023, 38.64578375500353
137.9375607143254, 38.30555700916106
139.86444180394494, 37.965330263318556
141.6779769471163, 37.965330263318556
143.83154992963225, 37.28487677163362
145.8717769657, 37.28487677163362
147.68531210887136, 37.28487677163362
149.27215535914627, 37.28487677163362
