x, y
54.90387728108263, 196.82452095393072
55.357261066875466, 192.06134651213597
56.037336745564716, 186.2774918328138
56.60406647780576, 180.15341040764915
57.170796210046795, 175.05000922001193
57.85087188873605, 169.94660803237474
58.5309475674253, 164.16275335305255
59.33325893506679, 158.28550971299185
59.89998866730783, 153.5223352711971
60.58006434599708, 148.41893408355992
61.34903744972658, 143.07537650458553
62.14245907486404, 138.3122020627908
62.9358807000015, 133.2088008751536
63.50261043224254, 129.4663066708863
64.29603205738, 125.38358572077654
65.15390604519354, 120.10672786761062
66.0606736167792, 115.34355342581588
66.96744118836487, 110.92060572986365
67.76086281350233, 107.17811152559636
68.86542888532443, 102.06137869911447
69.77219645691011, 98.31888449484718
70.79230997494399, 93.89593679889495
72.0502292935262, 89.41962101597889
73.2259150349024, 85.2568479354234
74.5860663922809, 81.17412698531359
75.83287180321119, 77.4316327810463
77.1930231605897, 73.68913857677906
78.73985911055273, 69.39961109823633
79.98666452148302, 66.67779713149648
81.57350777175793, 63.27552967307169
82.82031318268824, 60.89394245217431
84.29381048651494, 58.172128485434456
85.76730779034165, 55.450314518694604
87.35415104061657, 53.408954043639724
89.62106996958074, 50.34691333105741
92.11468079144132, 47.284872618475084
94.2682537739573, 44.903285397577704
96.08178891712862, 42.861924922522824
98.85320938080565, 40.580408056130764
100.7800904704252, 39.21950107276086
102.48027966714832, 37.85859408939092
104.40716075676787, 36.49768710602101
106.56073373928385, 35.47700686849357
108.60096077535158, 34.116099885123624
111.20791754366039, 32.755192901753716
113.58818241907275, 31.73451266422628
115.74175540158872, 30.71383242669884
117.66863649120828, 30.033378935013868
119.82220947372423, 29.012698697486428
121.86243650979198, 28.67247195164396
124.01600949230794, 27.992018459958988
126.16958247482391, 27.311564968274016
128.43650140378807, 26.63111147658908
130.2500365469594, 26.290884730746576
132.51695547592357, 25.950657984904108
134.4438365655431, 25.270204493219136
136.25737170871446, 24.929977747376668
138.184252798334, 24.589751001534164
140.7912095666428, 24.249524255691696
142.94478254915876, 23.909297509849228
145.2117014781229, 23.228844018164256
147.3652744606389, 23.228844018164256
148.8387717644656, 23.228844018164256
